Name,Code,Latitude,Longitude,SecondCheck_Status,SecondCheck_MaxSinglePolyOutsidePA_m2,SecondCheck_TotalOutsidePA_m2,SecondCheck_FreePolygonsUsed,SecondCheck_Radius_m,SecondCheck_Notes,RowsDeletedInExcel
ARA AWV Schwechat,,48.1345834227,16.5412221164,OK,50039.27,86798.14,4,2500,,0
ARA Siggerwiesen,,47.8597442357,13.0025239708,OK,13478.28,28480.77,4,2500,,0
Graz-Gössendorf,,46.9963889758,15.4720276734,OK,37168.18,57280.01,5,2500,,0
Hauptkläranlage Wien,,48.1722666227,16.4652650766,OK,111067.2,145098.65,6,2500,,0
COV Brno - Modrice,,49.1284,16.6308,OK,75980.12,91753.63,2,2500,,0
Ruhleben,,52.5316,13.2317,OK,13667.75,17093.53,2,2500,,0
Hauptklärwerk Mühlhausen,,48.8468,9.2414,OK,81394.13,109450.32,2,2500,,0
Göppingen,,48.704,9.60359,OK,35275.55,35275.55,2,2500,,0
SKA Karlsruhe Neureut,,49.0445,8.35939,OK,74641.59,203518.36,4,2500,,0
SKA AZV Heidelberg,,49.4351,8.65141,OK,58265.64,84605.79,3,2500,,0
Kläranlage Mannheim,,49.5655,8.42569,OK,88756.62,212186.68,3,2500,,0
SKA AZV BREISGAUER BUCHT - KA FORCHHEIM,,48.1895,7.70885,OK,175441.44,244511.35,8,2500,,0
Zweckverband Klärwerk Steinhäule,,48.4256,10.031,OK,58574.51,110562.87,4,2500,,0
München II - Gut Marienhof,,48.2949,11.6988,OK,39279.65,119466.52,4,2500,,0
AZV Erdinger Moos,,48.3785,11.8954,OK,97368.96,97368.96,4,2500,,0
Erlangen,,49.6171,11.0009,OK,60214.89,60214.89,1,2500,,0
Nürnberg I,,49.4654,11.0204,KO,3375.31,10234.35,4,2500,,1
Kläranlage Seehausen,,53.1159,8.71507,OK,22397.33,30887.67,3,2500,,0
Frankfurt am Main / Sindlingen,,50.0647,8.52376,OK,40773.87,84753.78,3,2500,,0
Frankfurt am Main / Niederrad/Griesheim,,50.0885,8.61859,KO,4059.77,13619.96,4,2500,,1
2530002102 KA Herrenhausen,,52.3968,9.66148,OK,16415.61,27110.17,4,2500,,0
2530142095 KA Gümmerwald,,52.4153,9.51037,OK,62642.28,119109.06,4,2500,,0
Aachen-Soers,,50.8085,6.10417,OK,82019.97,114253.69,3,2500,,0
Dortmund-Deusen,,51.5377,7.42629,OK,8866.0,27056.72,4,2500,,0
Bottrop,,51.5109,6.98092,OK,71764.13,142180.61,5,2500,,0
Köln Stammheim,,50.9937,6.97477,OK,72222.39,91911.23,2,2500,,0
Düsseldorf-Nord,,51.2781,6.69058,OK,35351.91,41939.85,3,2500,,0
Mönchengladbach GWK I,,51.2431,6.4643,OK,78542.85,89467.97,2,2500,,0
Neuss-Ost,,51.2043,6.72024,OK,88218.13,327570.47,7,2500,,0
Münster-Hauptkläranlage,,52.0081,7.65195,OK,26310.35,56839.97,3,2500,,0
Düren,,50.8408,6.44171,OK,47586.34,65885.49,3,2500,,0
Düsseldorf-Süd,,51.1941,6.73894,OK,88218.13,317325.43,7,2500,,0
Wuppertal-Buchenhofen,,51.2235,7.10641,OK,71362.46,74852.96,2,2500,,0
Emscherkläranlage,,51.5357,6.77614,OK,65016.59,137581.59,6,2500,,0
Koblenz,,50.3882,7.60416,OK,12541.9,14620.02,2,2500,,0
Mainz,,50.0308,8.21699,OK,27971.9,29678.71,4,2500,,0
Hetlingen,,53.598,9.60765,OK,16154.06,16154.06,3,2500,,0
KA Dresden-Kaditz,,51.071,13.6736,KO,0.0,0.0,1,2500,,1
Rosental,,51.3582,12.3363,KO,0.0,0.0,4,2500,,1
Bitterfeld-Wolfen,,51.66339,12.2875,OK,59542.05,124612.72,3,2500,,0
Halle-Nord,,51.5245,11.9207,OK,33615.58,70447.63,6,2500,,0
Schkopau,,51.4066,11.9549,OK,36448.3,76202.45,3,2500,,0
MD-Gerwisch,,52.183,11.7323,OK,99404.37,124752.58,3,2500,,0
Tallinna reoveepuhastusjaam,,59.469,24.703,OK,92708.98,174611.33,4,2500,,0
THESSALONIKI,,40.66084791,22.83382081,OK,57055.14,142262.84,7,2500,,0
PINEDO 1,,39.43153,-0.344559,OK,39300.88,197008.87,8,2500,,0
LA GOLONDRINA,,37.84706,-4.86217,OK,32316.18,91141.63,4,2500,,0
HUELVA,,37.24835,-6.93224,OK,202943.65,202943.65,1,2500,,0
SUR,,40.311904,-3.616639,OK,2230214.01,3892057.88,7,2500,,0
LA CHINA,,40.311904,-3.616639,OK,2230214.01,3892057.88,7,2500,,0
ARROYO CULEBRO CUENCA BAJA,,40.300845,-3.602147,OK,40501.59,58340.77,7,2500,,0
PALOMARES,,37.31154,-6.03491,OK,166327.01,467868.57,5,2500,,0
MAR MENOR SUR,,37.62447,-0.72608,OK,70427.76,97657.35,5,2500,,0
Crispijana,,42.853,-2.743,OK,64181.64,116687.88,2,2500,,0
ZARAGOZA (LA CARTUJA),,41.60967,-0.80989,OK,32446.11,33665.99,4,2500,,0
SAN PANTALEON,,43.46107,-3.5239584,OK,31778.17,41537.59,4,2500,,0
ALCAZAR DE SAN JUAN-CAMPO DE CRIPTANA,,39.39194,-3.23147,OK,97722.41,97722.41,1,2500,,0
PRAT DE LLOBREGAT (EL),,41.31147,2.12744,OK,11744.84,14712.19,2,2500,,0
GAVA-VILADECANS,,41.27763,2.04089,KO,0.0,0.0,2,2500,,1
TP (101) of Helsingin kt.,,60.22436,24.98851,OK,78797.99,78797.99,1,2500,,0
STRASBOURG - LA WANTZENAU,,48.631941401,7.8324315152,OK,25358.59,31480.2,3,2500,,0
SAUSHEIM,,47.7774439835,7.4040298184,OK,94733.98,222103.81,3,2500,,0
NANTES 1-TOUGAS,,47.1968154241,-1.6307432791,OK,6316.4,9727.64,3,2500,,0
BEGLES (CLOS DE HILDE),,44.8008736897,-0.5325374705,OK,26355.3,27913.36,2,2500,,0
FERNEY-VOLTAIRE - AIRE 2,,46.195725845,6.0895739291,OK,7178.61,18314.72,4,2500,,0
Cork city,,51.888792,-8.336269,OK,13355.51,13355.51,4,2500,,0
Ringsend,,53.338528,-6.1963557,OK,8613.01,16950.48,4,2500,,0
San_Giorgio_Di_Nogaro,,45.7602,13.232,OK,81494.71,236228.92,3,2500,,0
Idi_Aquarno,,43.73266,10.76001,OK,49301.86,153562.94,5,2500,,0
ROMA_EST,,41.920912,12.574226,OK,55814.53,88426.64,2,2500,,0
ROMA_NORD,,41.965805,12.496186,OK,62655.44,134409.23,4,2500,,0
ROMA_SUD,,41.812614,12.425506,OK,119478.87,179148.06,2,2500,,0
Impianto_C_Da_Magnisi_Casale_Vecchie_Saline_Depuratore_Ias_Priolo,,37.14974,15.208,OK,87530.44,115045.77,3,2500,,0
Wrocławska Oczyszczalnia Ścieków,,51.1936,16.9088,OK,46252.78,138233.5,7,2500,,0
Toruń Centralna Oczyszczalnia Ścieków,,53.0151,18.5441,OK,45255.47,102203.26,4,2500,,0
International Paper-Kwidzyn Sp z o.o.,,53.70720628,18.92595846,OK,202693.68,297023.02,3,2500,,0
Rib. de Moinhos,,37.9843582141,-8.8498108147,OK,134093.75,157977.7,9,2500,,0
ROWP SC APA CANAL 2000 S.A. PITESTI,,44.836,24.923,OK,20423.67,54980.41,4,2500,,0
UWWTP_LJUBLJANA (ZALOG),,46.069035,14.624219,OK,48138.4,97862.02,7,2500,,0
